opportunity_title,platform,required_skills,eligible_year,domain,deadline,opportunity_type,description,combined_text
ai research intern,Internshala,"nlp, machine learning, python, power bi",2nd Year,analytics,2026-01-16,Internship,an excellent opportunity to gain handson experience and industry exposure,"ai research intern nlp, machine learning, python, power bi analytics an excellent opportunity to gain handson experience and industry exposure"
product management intern,LinkedIn,"nlp, power bi, cloud, machine learning",1st Year,artificial intelligence,2026-02-05,Internship,an excellent opportunity to gain handson experience and industry exposure,"product management intern nlp, power bi, cloud, machine learning artificial intelligence an excellent opportunity to gain handson experience and industry exposure"
ai research intern,Company Website,"sql, cloud, aws, python",Final Year,data science,2026-02-03,Hackathon,an excellent opportunity to gain handson experience and industry exposure,"ai research intern sql, cloud, aws, python data science an excellent opportunity to gain handson experience and industry exposure"
web development intern,Unstop,"aws, deep learning, tableau, python",3rd Year,web development,2026-02-16,Internship,an excellent opportunity to gain handson experience and industry exposure,"web development intern aws, deep learning, tableau, python web development an excellent opportunity to gain handson experience and industry exposure"
product management intern,LinkedIn,"sql, tableau, react, machine learning",3rd Year,web development,2026-01-04,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"product management intern sql, tableau, react, machine learning web development an excellent opportunity to gain handson experience and industry exposure"
data science intern,Unstop,"deep learning, tableau, python, power bi",1st Year,cyber security,2026-01-28,Hackathon,an excellent opportunity to gain handson experience and industry exposure,"data science intern deep learning, tableau, python, power bi cyber security an excellent opportunity to gain handson experience and industry exposure"
ai research intern,LinkedIn,"excel, nlp, aws, react",1st Year,analytics,2026-02-04,Internship,an excellent opportunity to gain handson experience and industry exposure,"ai research intern excel, nlp, aws, react analytics an excellent opportunity to gain handson experience and industry exposure"
data science intern,Unstop,"tableau, deep learning, machine learning, sql",3rd Year,cloud computing,2026-02-23,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"data science intern tableau, deep learning, machine learning, sql cloud computing an excellent opportunity to gain handson experience and industry exposure"
ai research intern,Indeed,"excel, react, data science, statistics",1st Year,cyber security,2026-01-21,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"ai research intern excel, react, data science, statistics cyber security an excellent opportunity to gain handson experience and industry exposure"
business analytics intern,Unstop,"data science, cloud, power bi, sql",3rd Year,analytics,2026-01-09,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"business analytics intern data science, cloud, power bi, sql analytics an excellent opportunity to gain handson experience and industry exposure"
machine learning intern,Internshala,"cloud, sql, nlp, react",1st Year,web development,2026-02-21,Hackathon,an excellent opportunity to gain handson experience and industry exposure,"machine learning intern cloud, sql, nlp, react web development an excellent opportunity to gain handson experience and industry exposure"
cyber security intern,Internshala,"deep learning, machine learning, sql, aws",Final Year,cloud computing,2026-02-24,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"cyber security intern deep learning, machine learning, sql, aws cloud computing an excellent opportunity to gain handson experience and industry exposure"
cloud engineering intern,Company Website,"javascript, data science, deep learning, excel",Final Year,cyber security,2026-01-14,Hackathon,an excellent opportunity to gain handson experience and industry exposure,"cloud engineering intern javascript, data science, deep learning, excel cyber security an excellent opportunity to gain handson experience and industry exposure"
data science intern,LinkedIn,"react, sql, data science, cloud",1st Year,data science,2026-01-30,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"data science intern react, sql, data science, cloud data science an excellent opportunity to gain handson experience and industry exposure"
data science intern,Unstop,"data science, tableau, nlp, nodejs",Final Year,cyber security,2026-02-06,Hackathon,an excellent opportunity to gain handson experience and industry exposure,"data science intern data science, tableau, nlp, nodejs cyber security an excellent opportunity to gain handson experience and industry exposure"
data science intern,Company Website,"cloud, deep learning, statistics, python",3rd Year,analytics,2026-02-11,Hackathon,an excellent opportunity to gain handson experience and industry exposure,"data science intern cloud, deep learning, statistics, python analytics an excellent opportunity to gain handson experience and industry exposure"
machine learning intern,Indeed,"machine learning, deep learning, nodejs, data science",2nd Year,cyber security,2026-01-28,Internship,an excellent opportunity to gain handson experience and industry exposure,"machine learning intern machine learning, deep learning, nodejs, data science cyber security an excellent opportunity to gain handson experience and industry exposure"
ai research intern,Internshala,"excel, nlp, deep learning, statistics",3rd Year,data science,2026-01-31,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"ai research intern excel, nlp, deep learning, statistics data science an excellent opportunity to gain handson experience and industry exposure"
business analytics intern,LinkedIn,"tableau, cloud, python, aws",1st Year,web development,2026-01-19,Hackathon,an excellent opportunity to gain handson experience and industry exposure,"business analytics intern tableau, cloud, python, aws web development an excellent opportunity to gain handson experience and industry exposure"
data science intern,Unstop,"sql, python, statistics, aws",1st Year,cyber security,2026-01-04,Internship,an excellent opportunity to gain handson experience and industry exposure,"data science intern sql, python, statistics, aws cyber security an excellent opportunity to gain handson experience and industry exposure"
cloud engineering intern,Company Website,"data science, nlp, javascript, cloud",Final Year,data science,2026-01-09,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"cloud engineering intern data science, nlp, javascript, cloud data science an excellent opportunity to gain handson experience and industry exposure"
cloud engineering intern,Unstop,"tableau, power bi, excel, sql",3rd Year,cloud computing,2026-02-13,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"cloud engineering intern tableau, power bi, excel, sql cloud computing an excellent opportunity to gain handson experience and industry exposure"
cyber security intern,LinkedIn,"javascript, machine learning, sql, tableau",2nd Year,cyber security,2026-01-03,Internship,an excellent opportunity to gain handson experience and industry exposure,"cyber security intern javascript, machine learning, sql, tableau cyber security an excellent opportunity to gain handson experience and industry exposure"
ai research intern,LinkedIn,"python, machine learning, power bi, nlp",1st Year,web development,2026-01-02,Internship,an excellent opportunity to gain handson experience and industry exposure,"ai research intern python, machine learning, power bi, nlp web development an excellent opportunity to gain handson experience and industry exposure"
ai research intern,Company Website,"cloud, sql, deep learning, nlp",2nd Year,analytics,2026-01-30,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"ai research intern cloud, sql, deep learning, nlp analytics an excellent opportunity to gain handson experience and industry exposure"
product management intern,Internshala,"aws, javascript, sql, excel",1st Year,artificial intelligence,2026-02-19,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"product management intern aws, javascript, sql, excel artificial intelligence an excellent opportunity to gain handson experience and industry exposure"
machine learning intern,LinkedIn,"nodejs, react, statistics, tableau",1st Year,cloud computing,2026-01-28,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"machine learning intern nodejs, react, statistics, tableau cloud computing an excellent opportunity to gain handson experience and industry exposure"
ai research intern,Company Website,"react, tableau, machine learning, sql",Final Year,data science,2026-01-11,Hackathon,an excellent opportunity to gain handson experience and industry exposure,"ai research intern react, tableau, machine learning, sql data science an excellent opportunity to gain handson experience and industry exposure"
data science intern,Unstop,"data science, deep learning, javascript, sql",1st Year,artificial intelligence,2026-02-23,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"data science intern data science, deep learning, javascript, sql artificial intelligence an excellent opportunity to gain handson experience and industry exposure"
ai research intern,Internshala,"cloud, excel, python, machine learning",Final Year,cloud computing,2026-02-16,Hackathon,an excellent opportunity to gain handson experience and industry exposure,"ai research intern cloud, excel, python, machine learning cloud computing an excellent opportunity to gain handson experience and industry exposure"
product management intern,LinkedIn,"sql, excel, nodejs, python",Final Year,web development,2026-01-09,Hackathon,an excellent opportunity to gain handson experience and industry exposure,"product management intern sql, excel, nodejs, python web development an excellent opportunity to gain handson experience and industry exposure"
business analytics intern,Internshala,"deep learning, nodejs, power bi, tableau",2nd Year,web development,2026-02-18,Internship,an excellent opportunity to gain handson experience and industry exposure,"business analytics intern deep learning, nodejs, power bi, tableau web development an excellent opportunity to gain handson experience and industry exposure"
cyber security intern,LinkedIn,"python, aws, power bi, cloud",1st Year,cyber security,2026-01-02,Hackathon,an excellent opportunity to gain handson experience and industry exposure,"cyber security intern python, aws, power bi, cloud cyber security an excellent opportunity to gain handson experience and industry exposure"
data science intern,Internshala,"cloud, excel, statistics, data science",1st Year,cyber security,2026-01-02,Internship,an excellent opportunity to gain handson experience and industry exposure,"data science intern cloud, excel, statistics, data science cyber security an excellent opportunity to gain handson experience and industry exposure"
ai research intern,Company Website,"nlp, excel, sql, nodejs",1st Year,cyber security,2026-01-06,Internship,an excellent opportunity to gain handson experience and industry exposure,"ai research intern nlp, excel, sql, nodejs cyber security an excellent opportunity to gain handson experience and industry exposure"
cyber security intern,Indeed,"nodejs, nlp, aws, tableau",2nd Year,analytics,2026-02-01,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"cyber security intern nodejs, nlp, aws, tableau analytics an excellent opportunity to gain handson experience and industry exposure"
cloud engineering intern,Unstop,"react, sql, deep learning, nodejs",3rd Year,artificial intelligence,2026-01-07,Internship,an excellent opportunity to gain handson experience and industry exposure,"cloud engineering intern react, sql, deep learning, nodejs artificial intelligence an excellent opportunity to gain handson experience and industry exposure"
ai research intern,Company Website,"javascript, aws, excel, machine learning",3rd Year,data science,2026-01-03,Hackathon,an excellent opportunity to gain handson experience and industry exposure,"ai research intern javascript, aws, excel, machine learning data science an excellent opportunity to gain handson experience and industry exposure"
web development intern,Unstop,"statistics, machine learning, sql, react",3rd Year,cyber security,2026-01-17,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"web development intern statistics, machine learning, sql, react cyber security an excellent opportunity to gain handson experience and industry exposure"
data science intern,Internshala,"cloud, python, nlp, statistics",3rd Year,artificial intelligence,2026-01-18,Internship,an excellent opportunity to gain handson experience and industry exposure,"data science intern cloud, python, nlp, statistics artificial intelligence an excellent opportunity to gain handson experience and industry exposure"
ai research intern,Indeed,"power bi, cloud, data science, deep learning",2nd Year,analytics,2026-01-17,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"ai research intern power bi, cloud, data science, deep learning analytics an excellent opportunity to gain handson experience and industry exposure"
machine learning intern,LinkedIn,"excel, deep learning, cloud, javascript",Final Year,web development,2026-01-15,Internship,an excellent opportunity to gain handson experience and industry exposure,"machine learning intern excel, deep learning, cloud, javascript web development an excellent opportunity to gain handson experience and industry exposure"
cloud engineering intern,Internshala,"python, react, tableau, data science",Final Year,cyber security,2026-02-08,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"cloud engineering intern python, react, tableau, data science cyber security an excellent opportunity to gain handson experience and industry exposure"
web development intern,Company Website,"nodejs, cloud, python, machine learning",1st Year,web development,2026-01-03,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"web development intern nodejs, cloud, python, machine learning web development an excellent opportunity to gain handson experience and industry exposure"
cloud engineering intern,Indeed,"cloud, data science, nodejs, excel",1st Year,web development,2026-01-01,Internship,an excellent opportunity to gain handson experience and industry exposure,"cloud engineering intern cloud, data science, nodejs, excel web development an excellent opportunity to gain handson experience and industry exposure"
product management intern,Company Website,"nlp, sql, statistics, machine learning",2nd Year,data science,2026-01-21,Internship,an excellent opportunity to gain handson experience and industry exposure,"product management intern nlp, sql, statistics, machine learning data science an excellent opportunity to gain handson experience and industry exposure"
web development intern,Indeed,"tableau, statistics, data science, nodejs",Final Year,analytics,2025-12-31,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"web development intern tableau, statistics, data science, nodejs analytics an excellent opportunity to gain handson experience and industry exposure"
data science intern,Unstop,"tableau, sql, deep learning, data science",1st Year,cloud computing,2026-02-18,Internship,an excellent opportunity to gain handson experience and industry exposure,"data science intern tableau, sql, deep learning, data science cloud computing an excellent opportunity to gain handson experience and industry exposure"
ai research intern,Internshala,"sql, excel, javascript, react",1st Year,analytics,2026-01-18,Internship,an excellent opportunity to gain handson experience and industry exposure,"ai research intern sql, excel, javascript, react analytics an excellent opportunity to gain handson experience and industry exposure"
cloud engineering intern,Indeed,"nodejs, react, deep learning, machine learning",Final Year,analytics,2026-02-17,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"cloud engineering intern nodejs, react, deep learning, machine learning analytics an excellent opportunity to gain handson experience and industry exposure"
cloud engineering intern,LinkedIn,"react, python, machine learning, deep learning",1st Year,cyber security,2026-01-10,Hackathon,an excellent opportunity to gain handson experience and industry exposure,"cloud engineering intern react, python, machine learning, deep learning cyber security an excellent opportunity to gain handson experience and industry exposure"
data science intern,Unstop,"react, power bi, tableau, statistics",2nd Year,web development,2026-01-26,Internship,an excellent opportunity to gain handson experience and industry exposure,"data science intern react, power bi, tableau, statistics web development an excellent opportunity to gain handson experience and industry exposure"
ai research intern,Indeed,"power bi, nodejs, python, cloud",Final Year,artificial intelligence,2026-02-19,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"ai research intern power bi, nodejs, python, cloud artificial intelligence an excellent opportunity to gain handson experience and industry exposure"
data science intern,Indeed,"statistics, react, aws, excel",3rd Year,analytics,2026-02-10,Hackathon,an excellent opportunity to gain handson experience and industry exposure,"data science intern statistics, react, aws, excel analytics an excellent opportunity to gain handson experience and industry exposure"
web development intern,Internshala,"react, nodejs, power bi, deep learning",Final Year,analytics,2026-02-03,Hackathon,an excellent opportunity to gain handson experience and industry exposure,"web development intern react, nodejs, power bi, deep learning analytics an excellent opportunity to gain handson experience and industry exposure"
cloud engineering intern,Unstop,"nlp, power bi, data science, aws",1st Year,web development,2026-02-04,Hackathon,an excellent opportunity to gain handson experience and industry exposure,"cloud engineering intern nlp, power bi, data science, aws web development an excellent opportunity to gain handson experience and industry exposure"
cyber security intern,Unstop,"sql, nodejs, tableau, aws",Final Year,cloud computing,2026-02-06,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"cyber security intern sql, nodejs, tableau, aws cloud computing an excellent opportunity to gain handson experience and industry exposure"
data science intern,Indeed,"sql, cloud, javascript, power bi",3rd Year,artificial intelligence,2026-01-09,Internship,an excellent opportunity to gain handson experience and industry exposure,"data science intern sql, cloud, javascript, power bi artificial intelligence an excellent opportunity to gain handson experience and industry exposure"
machine learning intern,LinkedIn,"nlp, deep learning, sql, tableau",2nd Year,cloud computing,2026-01-08,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"machine learning intern nlp, deep learning, sql, tableau cloud computing an excellent opportunity to gain handson experience and industry exposure"
ai research intern,Unstop,"excel, tableau, machine learning, javascript",Final Year,cloud computing,2026-01-25,Internship,an excellent opportunity to gain handson experience and industry exposure,"ai research intern excel, tableau, machine learning, javascript cloud computing an excellent opportunity to gain handson experience and industry exposure"
